name,term,facts,decision_type,first_party,second_party,first_party_winner,issue_area,facts_len,majority_vote,deepseek_responses,llama_responses,deepseek_contamination,llama_contamination
School Committee of the Town of Burlington v. Department of Education of Massachusetts,1984,"<p>Under the provisions of the Education of the Handicapped Act, state and local education agencies must provide handicapped children and their parents or guardians with access to the appropriate safeguards to ensure free and appropriate public education. Such safeguards include the right of the parents and guardians to participate in the development of an individual education program (IEP) and a procedure for the review of a proposed IEP if there is disagreement.</p>
<p>In the spring of 1979, Michael Panico, who was considered to be “handicapped” under the meaning of the Act, was attending Memorial School, a public school in Burlington. His continued poor performance and the school’s inability to handle his needs led to a discussion between the school district and Michael’s parents about what changes needed to be made to his IEP. In June of 1979, the town presented the Panicos with an IEP that called for Michael to be placed at Pine Glen School. In the meantime, the Panicos had met with specialists at the Massachusetts General Hospital who recommended that Michael’s needs could best be served at the Carroll School in Lincoln, Massachusetts. The Panicos enrolled Michael at the Carroll School at their own expense.</p>
<p>The Massachusetts Department of Education’s Bureau of Special Education Appeals (BSEA) held several hearings on the issue and determined that the town’s proposed placement was inappropriate and that the Carroll School was most adequately equipped to meet Michael’s needs. The BSEA ordered the town to pay for Michael’s tuition and transportation, as well as reimburse the Panicos for money already spent. The town sought judicial review in district court under federal and state statutes. The district court granted summary judgment against the town on the state law claim and set a date for trial on the federal claim. Because the town had refused to comply with the BSEA order, the Panicos and the state moved for preliminary injunctive relief. The U.S. Court of Appeals for the First Circuit reversed the judgment in regards to the state law claim and held that none of the parties were entitled to preliminary injunctive relief because none could show irreparable injury. On remand, the district court found in favor of the town that the proposed IEP was appropriate and that the town should not be required to compensate the Panicos. The case was transferred to a different district judge to rule on the issue of whether or not the town should be required to pay the Panicos for costs incurred while the case was pending. The district court held that the Panicos’ decision to place Michael in the Carroll School without the town’s consent absolved the town of financial responsibility while the case was pending and ordered the Panicos to reimburse the town. The U.S. Court of Appeals for the First Circuit reversed and held that the district court erred in conducting an entirely new trial, gave insufficient weight to the BSEA findings, and did not properly evaluate the IEP in question.</p>
",majority opinion,"School Committee of Burlington, Massachusetts, et al.","Department of Education of the Commonwealth of Massachusetts, et al.",False,Civil Rights,3039,9,9,5,True,False
Graham v. Connor,1988,"<p>On November 12, 1984, Dethorne Graham, a diabetic, had an insulin reaction while doing auto work at his home. He asked a friend, William Berry, to drive him to a convenience store in order to purchase some orange juice to counter his reaction. When they arrived at the store, Graham rapidly left the car. He entered the store and saw a line of four or five persons at the counter; not wanting to wait in line, he quickly left the store and returned to Berry’s car. Officer M.S. Connor, a Charlotte police officer, observed Graham entering and exiting the store unusually quickly. He followed the car and pulled it over about a half mile away.</p>
<p>Graham, still suffering from an insulin reaction, exited the car and ran around it twice. Berry and Officer Connor stopped Graham, and he sat down on the curb. He soon passed out; when he revived he was handcuffed and lying face down on the sidewalk. Several more police officers were present by this time. The officers picked up Graham, still handcuffed, and placed him over the hood of Berry’s car. Graham attempted to reach for his wallet to show his diabetic identification, and an officer shoved his head down into the hood and told him to shut up. The police then struggled to place Graham in the squad car over Graham’s vigorous resistance. Officer Connor soon determined, however, that Graham had not committed a crime at the convenience store, and returned him to his home. Graham sustained multiple injuries, including a broken foot, as a result of the incident.</p>
<p>Graham filed § 1983 charges against Connor, other officers, and the City of Charlotte, alleging a violation of his rights by the excessive use of force by the police officers, unlawful assault, unlawful restraint constituting false imprisonment, and that the City of Charlotte improperly trained its officers in violation of the Rehabilitation Act of 1973. The City of Charlotte filed for a directed verdict, which the district court granted. Graham appealed the ruling on the use of excessive force, contending that the district court incorrectly applied a four-part substantive due process test from <i>Johnson v. Glick</i> that takes into account officers’ “good faith” efforts and whether they acted “maliciously or sadistically”. He instead argued for a standard of “objective reasonableness” under the Fourth Amendment. The United States Court of Appeals, Fourth Circuit, rejected this argument, reasoning that concepts such as ""good faith"" are relevant to determining the degree of force used. It affirmed the directed verdict, holding that a reasonable jury could not have found in Graham’s favor.</p>
",majority opinion,Dethorne Graham,M.S. Connor,True,Civil Rights,2643,9,9,9,True,True
Sosa v. Alvarez-Machain,2003,"<p>A U.S. Drug Enforcement Agency (DEA) special agent was kidnapped and murdered by a Mexican drug cartel in 1985. After an investigation, the DEA concluded that Humberto Alvarez-Machain had participated in the murder. A warrant for his arrest was issued by a federal district court. The DEA, however, was unable to convince Mexico to extradite Alvarez-Machain, so they hired several Mexican nationals to capture him and bring him back to the United States. His subsequent trial went all the way to the Supreme Court, which found that the government could try a person who had been forcibly abducted, but that the abduction itself might violate international and provide grounds for a civil suit. When the case went back to the district court for trial, Alvarez-Machain was found not guilty for lack of evidence.</p>
<p>Alvarez-Machain then filed a group of civil suits in federal court against the United States and the Mexican nationals who had captured him under the Federal Tort Claims Act (FTCA), which allows the federal government to be sued on tort claims, and the Alien Tort Statute (ATS), which permits suits against foreign citizens in American courts. The government argued that the FTCA applied only to claims arising from actions that took place in the United States and therefore did not cover Alvarez-Machain's case because the arrest took place in Mexico. Further, the government and the Mexican nationals argued that the ATS gave federal courts jurisdiction to hear tort claims against foreign citizens, but did not allow private individuals to bring those suits.</p>
<p>The federal district court disagreed with the government's contention that the FCTA claim did not apply, finding that plan to capture Alvarez-Machain was developed on U.S. soil and therefore covered. However, the court then ruled that the DEA had acted lawfully when they arrested Alvarez-Machain and was therefore not liable. On the ATS claims, the court rejected the argument that private individuals could not bring suit under the Act. The court found that Jose Francisco Sosa, one of the Mexican nationals who kidnapped Alvarez- Machain, had violated international law and was therefore liable under the ATS.</p>
<p>On appeal, the Ninth Circuit Court of Appeals overturned the district court's FTCA decision, ruling that the DEA could not authorize a citizen's arrest of Alvarez-Machain in another country and was therefore liable. The appeals court did, however, affirm the lower court's finding on the ATS claim, upholding the judgment against Sosa.</p>
",majority opinion,Jose Francisco Sosa,"Humberto Alvarez-Machain, et al.",True,Economic Activity,2549,6,8,6,False,True
Jones v. Bock,2006,"<p>Congress passed the Prisoner Litigation Reform Act (PLRA) in 1995 in an effort to cut down on frivolous lawsuits by prisoners. Under the PLRA, before bringing a federal civil rights suit a prisoner must go through his prison's internal complaint process. Only after exhausting all of these ""administrative remedies"" can the prisoner bring the complaint to federal court.</p>
<p>Lorenzo Jones sustained serious injuries in a car accident while in custody. He sued prison officials in federal court, claiming that they were violating his Eighth Amendment rights by making him do arduous work despite his injuries. The officials moved to dismiss the suit, because Jones had not provided any evidence or description of the administrative remedies he claimed to have pursued. The District Court granted the motion and dismissed the suit.</p>
<p>On appeal, the U.S. Court of Appeals for the Sixth Circuit affirmed. The Circuit Court ruled that in order for Jones to sue, he would have had to provide the court with copies of his grievance forms or at least describe the administrative processes he had exhausted. The Circuit Court further ruled that the PLRA requires ""total exhaustion,"" which means that if a prisoner's suit has multiple claims, administrative remedies must have been exhausted for each and every claim.</p>
<p>The Supreme Court accepted review in order to resolve the conflict between Circuit Courts over which side bears the burden of proving exhaustion of administrative remedies.</p>
<p>In <em>Williams v. Overton</em>, Timothy Williams suffered from a medical condition which caused tumor growth and disfigurement in his arm. He claimed that prison officials were violating his rights by ignoring his medical needs. Williams's complaint had two claims: he needed additional surgery on his arm and a single-occupancy, handicapped-accessible cell. Williams went through the administrative remedial process on both grievances and both claims were denied. Williams then sued in federal court.</p>
<p>The District Court dismissed the suit, because Williams had neglected to name any prison officials as defendants in his medical complaint. Therefore, the court ruled, the administrative remedies for that claim could not be considered to have been exhausted.</p>
<p>On appeal, the U.S. Court of Appeals for the Sixth Circuit affirmed, ruling that ""The prisoner must demonstrate that he has exhausted the administrative remedies with respect to each individual he intends to sue."" The Circuit Court also ruled that the PLRA requires ""total exhaustion,"" which meant that Williams's entire suit was dismissed because of his unexhausted medical claim, even though the administrative remedies for his request for a new cell had been exhausted.</p>
",majority opinion,Lorenzo L. Jones,"Barbara Bock, Warden, et al.",True,Criminal Procedure,2758,9,9,7,True,False
Boumediene v. Bush,2007,"<p>In 2002 Lakhdar Boumediene and five other Algerian natives were seized by Bosnian police when U.S. intelligence officers suspected their involvement in a plot to attack the U.S. embassy there. The U.S. government classified the men as enemy combatants in the war on terror and detained them at the Guantanamo Bay Naval Base, which is located on land that the U.S. leases from Cuba. Boumediene filed a petition for a writ of habeas corpus, alleging violations of the Constitution's Due Process Clause, various statutes and treaties, the common law, and international law. The District Court judge granted the government's motion to have all of the claims dismissed on the ground that Boumediene, as an alien detained at an overseas military base, had no right to a habeas petition. The U.S. Court of Appeals for the D.C. Circuit affirmed the dismissal but the Supreme Court reversed in <em>Rasul v. Bush</em>, which held that the habeas statute extends to non-citizen detainees at Guantanamo.</p>
<p>In 2006, Congress passed the Military Commissions Act of 2006 (MCA). The Act eliminates federal courts' jurisdiction to hear habeas applications from detainees who have been designated (according to procedures established in the Detainee Treatment Act of 2005) as enemy combatants. When the case was appealed to the D.C. Circuit for the second time, the detainees argued that the MCA did not apply to their petitions, and that if it did, it was unconstitutional under the Suspension Clause. The Suspension Clause reads: ""The Privilege of the Writ of Habeas Corpus shall not be suspended, unless when in Cases of Rebellion or Invasion the public Safety may require it.""</p>
<p>The D.C. Circuit ruled in favor of the government on both points. It cited language in the MCA applying the law to ""all cases, without exception"" that pertain to aspects of detention. One of the purposes of the MCA, according to the Circuit Court, was to overrule the Supreme Court's opinion in <em>Hamdan v. Rumsfeld</em>, which had allowed petitions like Boumediene's to go forward. The D.C. Circuit held that the Suspension Clause only protects the writ of habeas corpus as it existed in 1789, and that the writ would not have been understood in 1789 to apply to an overseas military base leased from a foreign government. Constitutional rights do not apply to aliens outside of the United States, the court held, and the leased military base in Cuba does not qualify as inside the geographic borders of the U.S. In a rare reversal, the Supreme Court granted certiorari after initially denying review three months earlier.</p>
",majority opinion,Lakhdar Boumediene et al.,"George W. Bush, President of the United States, et al.",True,Criminal Procedure,2608,5,5,5,True,True
Fitzgerald v. Barnstable School Committee,2008,"<p>In February 2001 Jacqueline Fitzgerald, a kindergarten student, told her parents that an older student on the school bus, on several occasions, bullied her into lifting up her skirt. Jacqueline's mother reported these allegations to the school but its immediate investigation into the matter, including interviewing the supposed perpetrator, the school bus driver, and many students on the bus, did not provide any further proof of the sexual harassment. After Jacqueline told her parents about further instances of mistreatment, the local police department began its own investigation but was unable to find sufficient evidence to bring criminal proceedings against the alleged harasser. Jacqueline reported other incidents throughout the year, and each was addressed by the school's principal as it occurred. In April of 2002 the Fitzgeralds brought suit against the school district in federal court alleging violations of both Title IX of the Education Act Amendments of 1972 and 42 U.S.C. 1983 (Section 1983). Title IX prohibits discrimination by any educational entity receiving federal funding, while Section 1983 protects against the deprivation of any rights guaranteed by the Constitution and federal laws. The district court granted the school district's motion to dismiss both counts and the Fitzgeralds appealed.</p>
<p>The U.S. Court of Appeals for the First Circuit affirmed the district court's dismissal of both claims. First, discussing the Title IX claim, the court stated that five conditions must be met for a plaintiff to succeed: the student must prove that (1) the institution is a recipient of federal funding, (2) severe, pervasive, and objectively offensive harassment occurred, (3) the harassment denied the student of educational opportunities or benefits, (4) the institution had actual knowledge of the harassment, and (5) the institution's deliberate indifference caused the student to be subjected to the harassment. The First Circuit held that even if the first four factors were met in this case, the school's ""prompt"" and ""diligent"" investigation was not clearly unreasonable and therefore did not amount to deliberate indifference. Rather, the school looked into each allegation quickly and thoroughly. The court also affirmed the dismissal of the Fitzgeralds' Section 1983 claim, applying the so-called ""remedial"" exception prohibiting such claims when the allegedly violated federal law is itself specific enough to demonstrate Congress' intention to allow only those remedies referred to in the statute itself. According to the First Circuit, Title IX is one of these remedial statutes and therefore any alleged violations of the statute cannot be litigated under Section 1983.</p>
",majority opinion,"Lisa Fitzgerald, et vir","Barnstable School Committee, et al.",True,Civil Rights,2724,9,9,9,True,True
United States v. Home Concrete & Supply,2011,"<p>Plaintiffs Stephen R. Chandler and Robert L. Pierce were the sole shareholders of Home Oil and Coal Company, Inc. In 1999, Pierce contemplated selling his share of the business and sought professional advice in an effort to minimize tax liability generated by the sale of his interest in Home Oil. Each of the taxpayers initiated short sales of United States Treasury Bonds for $7,472,405. They then transferred the proceeds from that sale to Home Concrete as capital contributions. Home Concrete then closed the short sales by purchasing and returning essentially identical Treasury Bonds on the open market for $7,359,043. This transaction created ""outside basis,"" or how much the partner's investment was worth according to tax rules, equal to the amount of the proceeds the taxpayers contributed.</p>
<p>Home Oil then transferred its assets to Home Concrete as a capital contribution. The taxpayers (except Home Oil) then transferred percentages of their partnership interests in Home Concrete to Home Oil as capital contributions. Home Concrete then sold substantially all of its assets to a third party purchaser for $10,623,348. The taxpayers timely filed their tax returns for 1999 in April 2000. Home Concrete elected to step-up its inside basis, or the amount that the partnership tax records compute for each partner, to equal the taxpayers' outside basis. Home Concrete again adjusted its inside basis to $10,527,250.53, including the amount of short sale proceeds earlier contributed by the taxpayers. As a result Home Concrete reported a $69,125.08 gain from the sale of its assets.</p>
<p>The IRS did not investigate until June 2003. As a result of their investigation, the IRS determined that the partnership was formed ""solely for the purposes of tax avoidance by artificially overstating basis in the partnership interests of its purported partners."" On September 7, 2006 the IRS issued a Final Partnership Administrative Adjustment (FPAA), in which they decreased to zero the taxpayers' reported outside bases in Home Concrete. This substantially increased the taxpayers' taxable income. Plaintiff taxpayers brought action against Internal Revenue Service (IRS) seeking to recover the increase.</p>
<p>As a general matter, the Internal Revenue Service (IRS) has three years to assess additional tax if the agency believes that the taxpayer's return has understated the amount of tax owed. That period is extended to six years, however, if the taxpayer omits from gross income an amount which is in excess of 25 percent of the amount of gross income stated in the taxpayer's return. During the trial the Treasury Department passed a regulation stating that the six-year period for assessing tax remains open for ""all taxable years… that are the subject of any case pending before any court of competent jurisdiction… in which a decision had not become final."" The U.S. Court of Appeals for the Fourth Circuit disagreed and found in favor of the plaintiffs.</p>
",majority opinion,United States,"Home Concrete & Supply, LLC, et al.",False,Federal Taxation,2982,5,5,5,True,True
Armour v. City of Indianapolis,2011,"<p>In April of 2001, the City of Indianapolis (""the city"") sent a letter to property owners in the Northern Estates neighborhood informing them that their properties were part of the Brisbane/Manning Barrett Law Sanitary Sewers Project (""the project""). The project was designed to connect properties to the city sewer system, reducing or eliminating the use of septic tanks.</p>
<p>In July of 2004, the Indianapolis Board of Public Works (""the board"") levied an assessment of $9,278 against each property subject to the project. Indianapolis offered each property owner the option of paying the assessment in its entirety or of paying in monthly installments, subject to an annual interest rate. The petitioners, Christine Armour and 30 other property owners (""property owners""), chose to pay the assessment in its entirety.</p>
<p>In 2005, the city abandoned the Barrett Law method of assessing owners' contributions in favor of the Septic Tank Elimination Program (""STEP""). As part of the transition to STEP, the board passed a measure forgiving all outstanding Barrett Law assessment balances owed as of November 1, 2005, including those assessed for the project. As a result, owners who chose to pay their assessment in monthly installments were forgiven from future payment. Owners who chose to pay their assessments in their entirety were given no reimbursement. The property owners requested compensation from the board in February of 2006 and were denied.</p>
<p>The property owners filed complaint against the city in July of 2007, alleging violation of due process and equal protection under the Fourteenth Amendment. All parties filed for summary judgment; the trial court granted the property owners' motion, and entered judgment against the city. On appeal, the property owners abandoned their due process claim, arguing that the city violated equal protection. The Indiana Court of Appeals affirmed, holding that the city did not have a rational basis for only forgiving the debt of owners who chose to pay in installments. The Indiana Supreme Court granted the city's motion to transfer the case, vacating the decision of the Court of Appeals.</p>
<p>Justice Frank Sullivan, writing for a unanimous court, held that the city's tax policy survives rational basis review and does not violate equal protection. The city legitimately believed that 1) owners who fully paid their assessments were in a better financial position than those making monthly installments, 2) the benefits of simplifying funding for the sewer system outweighed the effort of continuing the previous taxation system and 3) the new taxation system would preserve city resources. He rejected the property owners' argument that they were a ""class of one"" --requiring heightened scrutiny of the city's action-- because the property owners were not singled out for discriminatory treatment.</p>
",majority opinion,Christine Armour,City of Indianapolis,False,Economic Activity,2877,6,9,6,False,True
National Federation of Independent Business v. Sebelius,2011,"<p>Amid intense public interest, Congress passed the Patient Protection and Affordable Care Act (ACA), which became effective March 23, 2010. The ACA sought to address the fact that millions of Americans had no health insurance, yet actively participated in the health care market, consuming health care services for which they did not pay.</p>
<p>The ACA contained a minimum coverage provision by amending the tax code and providing an individual mandate, stipulating that by 2014, non-exempt individuals who failed to purchase and maintain a minimum level of health insurance must pay a tax penalty. The ACA also contained an expansion of Medicaid, which states had to accept in order to receive Federal funds for Medicaid, and an employer mandate to obtain health coverage for employees.</p>
<p>Shortly after Congress passed the ACA, Florida and 12 other states brought actions in the United States District Court for the Northern District of Florida seeking a declaration that the ACA was unconstitutional on several grounds. These states were subsequently joined by 13 additional states, the National Federation of Independent businesses, and individual plaintiffs Kaj Ahburg and Mary Brown.</p>
<p>The plaintiffs argued that: (1) the individual mandate exceeded Congress' enumerated powers under the Commerce Clause; (2) the Medicaid expansions were unconstitutionally coercive; and (3) the employer mandate impermissibly interfered with state sovereignty.</p>
<p>The District Court first addressed whether the plaintiffs had standing to bring the lawsuit. It determined that Brown had standing to challenge the minimum coverage provision because she did not have health insurance and had to make financial arrangements to ensure compliance with the provision, which would go into effect in 2014. The court further determined that Idaho and Utah had standing because each state had enacted a statute purporting to exempt their residents from the minimum coverage provision.</p>
<p>The court also concluded that the Anti-Injunction Act did not bar the suit.</p>
<p>The District Court then addressed the constitutional questions. It ruled that the individual mandate provision was not a valid exercise of Congress' commerce or taxing powers. The court held the entire act invalid because the mandate could not be severed from any other provision. The court dismissed the states' challenge to the employer mandates and granted judgment to the federal government on the Medicaid expansions, finding insufficient support for the contention that the spending legislation was unconstitutionally coercive.</p>
<p>A panel of the U.S. Court of Appeals for the Eleventh Circuit affirmed 2-to-1 the District Court's holdings as to the Medicaid expansions and the individual mandate. But it also reversed the District Court, holding that the individual mandate could be severed without invalidating the remainder of the ACA.</p>
",majority opinion,"National Federation of Independent Business, et al.","Kathleen Sebelius, Secretary of Health and Human Services, et al.",False,Federalism,2922,5,5,5,True,True
Trevino v. Thaler,2012,"<p>On the night of June 9, 1996, Carlos Trevino and four others drove to a nearby store to pick up beer for a party. One of the men noticed 15-year old Linda Salinas and offered to drive her to a nearby restaurant. Instead, the group drove Linda to Espada Park in San Antonio, Texas where they started to sexually assault her. Trevino's cousin, Juan Gonzalez, refused to participate and returned to the car; meanwhile, Trevino and the three other men continued the assault. Linda's body was discovered in the park the next day with fatal stab wounds to her neck.</p>
<p>After their investigation, the San Antonio Police arrested Trevino and a grand jury indicted him on one count of intentional murder and attempt to commit aggravated sexual assault. At trial, Trevino's cousin Gonzalez testified against him. Gonzalez testified that the men returned to the car with blood on their shirts discussing the murder, with Trevino bragging about how he learned to kill in prison. With this evidence, the jury found Trevino guilty and was left to decide on an appropriate punishment. They determined that Trevino intended to kill Linda and was likely to commit such violent acts in the future. At the jury's suggestion, the trial court sentenced Trevino to death.</p>
<p>Through both the punishment phase of the trial and the first state habeas corpus proceeding, Trevino's attorney did not investigate or present any mitigating evidence that could have reduced Trevino's sentence. During the federal habeas proceeding that followed, Trevino's attorney withdrew and the court appointed new counsel. Trevino's new counsel undertook his own investigation and discovered several pieces of evidence that the jury could have found relevant during the punishment phase of the trial.</p>
<p>Trevino returned to state court and filed a second habeas corpus application on the basis that his first attorney had a duty to investigate and present the mitigating evidence. Since the attorney failed to do so, Trevino claimed that his Sixth Amendment right to a competent attorney had been denied. The state court denied his application, stating that Trevino should have presented the ineffective assistance of counsel claim during the first state habeas proceeding. Trevino returned to the federal district court to reassert this claim, but that court also denied his claim because it was never properly raised in state court. The district court went on to explain that the allegedly ineffective performance of his first attorney during state habeas proceedings did not excuse his failure to present an ineffective assistance of counsel claim during those proceedings. The United States Court of Appeals for the Fifth Circuit affirmed the district court's decision and Trevino appealed further. The Supreme Court granted certiorari limited to the question below.</p>
",majority opinion,Carlos Trevino,"Rick Thaler, Director, Texas Department of Criminal Justice, Correctional Institutions Division",True,Civil Rights,2848,5,5,9,True,False
